 ==================== ALOHA result file ====================
 \t\t S \t\t RZheg \t\t K_cpl 
 (-0.54487654085541126     , 0.10149763754793442     ) (  21.493243746966318     ,  0.0000000000000000     ) ( 6.33806623393979880E-003,-4.69924738949337780E-003)
 (-7.83344697647239269E-002, 8.30856799490111569E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (  0.0000000000000000     ,  0.0000000000000000     )
 ( 6.69638941160070195E-002, 5.52358476735208687E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-5.59003364713579623E-004,-1.53551209617553940E-005)
 (-0.22723214846306491     , 9.76129679105892101E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.24393459784795271E-003,-4.51218720000040683E-003)
 (-0.12768798431579337     ,-4.81394657341761220E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.16122084828202679E-003,-2.10442859394478353E-004)
 (-4.59475794243541097E-002,-2.26090399464599322E-002) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.22822833408544159E-004, 5.22658993314211438E-005)
 (-3.01710726252834641E-002, 6.47100830127251836E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-1.87868301351154596E-003,-2.92248560209448782E-003)
 (-2.73028808739300341E-002, 4.53864091680515700E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 4.92350539872834819E-004,-5.64627733016494129E-004)
 (-7.55420032955056702E-003, 8.91550669381509816E-004) (  0.0000000000000000     ,  0.0000000000000000     ) ( 6.05509821284473500E-005, 2.27912570401090113E-005)
 ( 9.23237153272645286E-003, 3.02881378233938944E-002) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.81400420671174857E-003,-5.42916653908610911E-004)
 (-8.32065088618786156E-003, 6.24976159034631475E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 3.46380847799396143E-007,-6.11356570975221279E-004)
 (-1.79878248967651447E-003, 1.18035213398049962E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 5.07995485570194896E-005,-1.10564077968198386E-005)
 ( 1.71573732388453810E-002, 8.48146033037668924E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.08104986341324559E-003, 1.47536615359540840E-003)
 (-1.67227757277743248E-003, 5.04798175111049411E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.52687240375815572E-004,-3.89739530703527026E-004)
 (-1.71610298982519696E-004, 1.02850647004985277E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 2.75907562441830475E-005,-3.62441673998390270E-005)
 ( 1.22874592929554868E-002,-3.30047365695047964E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.09638534350483820E-004, 2.31203980784868129E-003)
 ( 1.37300023897846688E-003, 3.09582540257174067E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-4.65985779119683894E-004,-3.21297719512587244E-005)
 ( 1.60158421350212188E-004, 4.42446721935185012E-004) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.00264645921011221E-006,-4.14961804160885803E-005)
 ( 4.64329864741149217E-003,-7.78400357738160808E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.20111733871814839E-003, 1.79270765718497977E-003)
 ( 2.50061486041817764E-003, 1.20328157611581418E-003) (  0.0000000000000000     ,  0.0000000000000000     ) (-3.28794653465600245E-004, 2.81524827008268572E-004)
 ( 3.92728157207725744E-004,-3.00818359785729386E-005) (  0.0000000000000000     ,  0.0000000000000000     ) (-2.65041523885897966E-005,-2.63451353357582787E-005)
 (-1.64994624838956001E-003,-6.49101567747890559E-003) (  0.0000000000000000     ,  0.0000000000000000     ) ( 1.94409520943394074E-003, 3.88810353078501291E-004)
